transformer_id,middle_point,CN_transformer,taid
548,-460,27068,4602
549,-460,27069,4603
550,-461,18275,4611
551,-461,27070,4612
552,-461,27071,4613
553,-462,19263,4621
554,-462,27074,4622
555,-462,27075,4623
556,-463,19264,4631
557,-463,27072,4632
558,-463,27073,4633
559,-464,18496,4641
560,-464,27081,4642
561,-464,27078,4643
562,-465,18497,4651
563,-465,27077,4652
564,-465,27076,4653
565,-466,18498,4661
566,-466,27079,4662
567,-466,27080,4663
568,-467,18126,4671
569,-467,26963,4672
570,-467,26965,4673
571,-468,18127,4681
572,-468,26964,4682
573,-468,26966,4683
574,-469,19502,4691
575,-469,26897,4692
576,-469,26898,4693
577,-470,19504,4701
578,-470,27082,4702
579,-470,27083,4703
580,-471,18624,4711
581,-471,26876,4712
582,-471,27084,4713
583,-472,18770,4721
584,-472,26894,4722
585,-472,27085,4723
586,-473,18628,4731
587,-473,27089,4732
588,-473,27090,4733
589,-474,18627,4741
590,-474,27087,4742
591,-474,27088,4743
592,-475,18529,4751
593,-475,26874,4752
594,-475,27092,4753
595,-476,18530,4761
596,-476,26885,4762
597,-476,27091,4763
598,-477,17892,4771
599,-477,26882,4772
600,-477,27093,4773
601,-478,18456,4781
602,-478,26871,4782
603,-478,27097,4783
604,-479,18457,4791
605,-479,26884,4792
606,-479,27096,4793
607,-480,18462,4801
608,-480,26870,4802
609,-480,27095,4803
610,-481,19503,4811
611,-481,27103,4812
612,-481,27086,4813
613,-482,18540,4821
614,-482,27107,4822
615,-482,27106,4823
616,-483,18541,4831
617,-483,27105,4832
618,-483,27104,4833
619,-484,19722,4841
620,-484,27099,4842
621,-484,27100,4843
622,-485,19721,4851
623,-485,27101,4852
624,-485,27102,4853
625,-492,18857,4921
626,-492,27108,4922
627,-492,27111,4923
628,-493,18369,4931
629,-493,27109,4932
630,-493,27110,4933
631,-494,18026,4941
632,-494,27112,4942
633,-494,27113,4943
634,-495,18027,4951
635,-495,27114,4952
636,-495,27115,4953
637,-496,19493,4961
638,-496,26893,4962
639,-496,27116,4963
640,-497,18666,4971
641,-497,27120,4972
642,-497,27119,4973
643,-498,18667,4981
644,-498,27118,4982
645,-498,27117,4983
646,-499,19191,4991
647,-499,27121,4992
648,-499,27122,4993
649,-500,19192,5001
650,-500,27123,5002
651,-500,27124,5003
652,-503,18178,5031
653,-503,26859,5032
654,-503,27126,5033
655,-504,18179,5041
656,-504,26883,5042
657,-504,27125,5043
658,-505,19255,5051
659,-505,27129,5052
660,-505,27131,5053
661,-506,19256,5061
662,-506,27130,5062
663,-506,27132,5063
664,-509,17605,5091
665,-509,27133,5092
666,-509,27134,5093
667,-510,18267,5101
668,-510,27138,5102
669,-510,27137,5103
670,-511,18268,5111
671,-511,27136,5112
672,-511,27135,5113
673,-512,20165,5121
674,-512,27142,5122
675,-512,27141,5123
676,-513,20166,5131
677,-513,27140,5132
678,-513,27139,5133
679,-514,21317,5141
680,-514,27146,5142
681,-514,27145,5143
682,-515,21318,5151
683,-515,27144,5152
684,-515,27143,5153
685,-516,19276,5161
686,-516,27150,5162
687,-516,27149,5163
688,-517,19277,5171
689,-517,27148,5172
