id,name,volt,point,I_nd,J_nd,I_node,J_node
序号,刀闸名,电压等级,遥信状态,I端物理节点,J端物理节点,I端所在拓扑节点,J端所在拓扑节点
6157,四川.冯冲湾/220kV.2651刀闸,220,1,7385,625,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6158,四川.冯冲湾/220kV.2652刀闸,220,0,7385,624,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6159,四川.冯冲湾/220kV.2656刀闸,220,1,19169,7384,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6160,四川.冯冲湾/220kV.2661刀闸,220,0,7387,625,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6161,四川.冯冲湾/220kV.2662刀闸,220,1,7387,624,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6162,四川.冯冲湾/220kV.2666刀闸,220,1,19170,7386,四川.冯冲湾.220.4226,四川.冯冲湾.220.4226
6163,四川.果州/220kV.2011刀闸,220,1,627,7388,四川.果州.220.4233,四川.果州.220.4233
6164,四川.果州/220kV.2012刀闸,220,0,626,7388,四川.果州.220.4233,四川.果州.220.4233
6165,四川.果州/220kV.2016刀闸,220,1,7389,19171,四川.果州.220.4233,四川.果州.220.4233
6166,四川.果州/220kV.2021刀闸,220,0,627,7390,四川.果州.220.4233,四川.果州.220.4233
6167,四川.果州/220kV.2022刀闸,220,1,626,7390,四川.果州.220.4233,四川.果州.220.4233
6168,四川.果州/220kV.2026刀闸,220,1,7391,19172,四川.果州.220.4233,四川.果州.220.4233
6169,四川.果州/220kV.2121刀闸,220,1,627,7393,四川.果州.220.4233,四川.果州.220.4233
6170,四川.果州/220kV.2122刀闸,220,1,626,7392,四川.果州.220.4233,四川.果州.220.4233
6171,四川.果州/220kV.2611刀闸,220,1,7395,627,四川.果州.220.4233,四川.果州.220.4233
6172,四川.果州/220kV.2612刀闸,220,0,7395,626,四川.果州.220.4233,四川.果州.220.4233
6173,四川.果州/220kV.2616刀闸,220,1,19173,7394,四川.果州.220.4233,四川.果州.220.4233
6174,四川.果州/220kV.2621刀闸,220,0,7397,627,四川.果州.220.4233,四川.果州.220.4233
6175,四川.果州/220kV.2622刀闸,220,1,7397,626,四川.果州.220.4233,四川.果州.220.4233
6176,四川.果州/220kV.2626刀闸,220,1,19174,7396,四川.果州.220.4233,四川.果州.220.4233
6177,四川.果州/220kV.2651刀闸,220,1,7399,627,四川.果州.220.4233,四川.果州.220.4233
6178,四川.果州/220kV.2652刀闸,220,0,7399,626,四川.果州.220.4233,四川.果州.220.4233
6179,四川.果州/220kV.2656刀闸,220,1,19175,7398,四川.果州.220.4233,四川.果州.220.4233
6180,四川.通川/220kV.2641刀闸,220,1,6698,598,四川.通川.220.4094,四川.通川.220.4094
6181,四川.通川/220kV.2642刀闸,220,0,6698,597,四川.通川.220.4094,四川.通川.220.4094
6182,四川.通川/220kV.2646刀闸,220,1,19176,6697,四川.通川.220.4094,四川.通川.220.4094
6183,四川.通川/220kV.2651刀闸,220,1,6700,598,四川.通川.220.4094,四川.通川.220.4094
6184,四川.通川/220kV.2652刀闸,220,0,6700,597,四川.通川.220.4094,四川.通川.220.4094
6185,四川.通川/220kV.2656刀闸,220,1,19177,6699,四川.通川.220.4094,四川.通川.220.4094
6186,四川.通川/220kV.2661刀闸,220,0,6702,598,四川.通川.220.4094,四川.通川.220.4094
6187,四川.通川/220kV.2662刀闸,220,1,6702,597,四川.通川.220.4094,四川.通川.220.4094
6188,四川.通川/220kV.2666刀闸,220,1,19178,6701,四川.通川.220.4094,四川.通川.220.4094
6189,四川.金牛/220kV.2122刀闸,220,1,676,6745,四川.金牛.220.4108,四川.金牛.220.4108
6190,四川.金牛/220kV.2611刀闸,220,1,6748,677,四川.金牛.220.4108,四川.金牛.220.4108
6191,四川.金牛/220kV.2612刀闸,220,0,6748,676,四川.金牛.220.4108,四川.金牛.220.4108
6192,四川.金牛/220kV.2616刀闸,220,1,19179,6747,四川.金牛.220.4108,四川.金牛.220.4108
6193,四川.金牛/220kV.2621刀闸,220,0,6750,677,四川.金牛.220.4108,四川.金牛.220.4108
6194,四川.金牛/220kV.2622刀闸,220,1,6750,676,四川.金牛.220.4108,四川.金牛.220.4108
6195,四川.金牛/220kV.2626刀闸,220,1,19180,6749,四川.金牛.220.nd19180,四川.金牛.220.nd6749
6196,四川.金牛/220kV.2631刀闸,220,1,6752,677,四川.金牛.220.4108,四川.金牛.220.4108
6197,四川.金牛/220kV.2632刀闸,220,0,6752,676,四川.金牛.220.4108,四川.金牛.220.4108
6198,四川.金牛/220kV.2636刀闸,220,1,19181,6751,四川.金牛.220.4108,四川.金牛.220.4108
6199,四川.金牛/220kV.2641刀闸,220,0,6754,677,四川.金牛.220.4108,四川.金牛.220.4108
6200,四川.金牛/220kV.2642刀闸,220,1,6754,676,四川.金牛.220.4108,四川.金牛.220.4108
6201,四川.金牛/220kV.2646刀闸,220,1,19182,6753,四川.金牛.220.4108,四川.金牛.220.4108
6202,四川.渠县/220kV.2011刀闸,220,1,679,6755,四川.渠县.220.4117,四川.渠县.220.4117
6203,四川.渠县/220kV.2012刀闸,220,0,678,6755,四川.渠县.220.4117,四川.渠县.220.4117
6204,四川.渠县/220kV.2016刀闸,220,1,6756,19183,四川.渠县.220.4117,四川.渠县.220.4117
6205,四川.渠县/220kV.2021刀闸,220,0,679,6757,四川.渠县.220.4117,四川.渠县.220.4117
6206,四川.渠县/220kV.2022刀闸,220,1,678,6757,四川.渠县.220.4117,四川.渠县.220.4117
6207,四川.渠县/220kV.2026刀闸,220,1,6758,19184,四川.渠县.220.4117,四川.渠县.220.4117
6208,四川.渠县/220kV.2121刀闸,220,1,679,6760,四川.渠县.220.4117,四川.渠县.220.4117
6209,四川.渠县/220kV.2122刀闸,220,1,678,6759,四川.渠县.220.4117,四川.渠县.220.4117
6210,四川.渠县/220kV.2611刀闸,220,1,6762,679,四川.渠县.220.4117,四川.渠县.220.4117
6211,四川.渠县/220kV.2612刀闸,220,0,6762,678,四川.渠县.220.4117,四川.渠县.220.4117
6212,四川.渠县/220kV.2616刀闸,220,1,19185,6761,四川.渠县.220.4117,四川.渠县.220.4117
6213,四川.渠县/220kV.2621刀闸,220,0,6764,679,四川.渠县.220.4117,四川.渠县.220.4117
6214,四川.渠县/220kV.2622刀闸,220,1,6764,678,四川.渠县.220.4117,四川.渠县.220.4117
6215,四川.渠县/220kV.2626刀闸,220,1,19186,6763,四川.渠县.220.4117,四川.渠县.220.4117
6216,四川.渠县/220kV.2631刀闸,220,1,6766,679,四川.渠县.220.4117,四川.渠县.220.4117
6217,四川.渠县/220kV.2632刀闸,220,0,6766,678,四川.渠县.220.4117,四川.渠县.220.4117
6218,四川.渠县/220kV.2636刀闸,220,1,19187,6765,四川.渠县.220.4117,四川.渠县.220.4117
6219,四川.渠县/220kV.2641刀闸,220,0,6768,679,四川.渠县.220.4117,四川.渠县.220.4117
6220,四川.渠县/220kV.2642刀闸,220,1,6768,678,四川.渠县.220.4117,四川.渠县.220.4117
6221,四川.渠县/220kV.2646刀闸,220,1,19188,6767,四川.渠县.220.4117,四川.渠县.220.4117
6222,四川.渠县/220kV.2651刀闸,220,1,6770,679,四川.渠县.220.4117,四川.渠县.220.4117
6223,四川.群文/220kV.2016刀闸,220,0,594,19189,四川.群文.220.4432,四川.群文.220.nd19189
6224,四川.群文/220kV.2026刀闸,220,1,593,19190,四川.群文.220.4432,四川.群文.220.4432
6225,四川.草坝/220kV.2011刀闸,220,1,571,6703,四川.草坝.220.4435,四川.草坝.220.4435
6226,四川.草坝/220kV.2012刀闸,220,0,570,6703,四川.草坝.220.4435,四川.草坝.220.4435
6227,四川.草坝/220kV.2016刀闸,220,1,6704,19191,四川.草坝.220.4435,四川.草坝.220.4435
6228,四川.草坝/220kV.2021刀闸,220,0,571,6705,四川.草坝.220.4435,四川.草坝.220.4435
6229,四川.草坝/220kV.2022刀闸,220,1,570,6705,四川.草坝.220.4435,四川.草坝.220.4435
6230,四川.草坝/220kV.2026刀闸,220,1,6706,19192,四川.草坝.220.4435,四川.草坝.220.4435
6231,四川.草坝/220kV.2121刀闸,220,1,6707,571,四川.草坝.220.4435,四川.草坝.220.4435
6232,四川.草坝/220kV.2122刀闸,220,1,6708,570,四川.草坝.220.4435,四川.草坝.220.4435
6233,四川.草坝/220kV.2611刀闸,220,1,6710,571,四川.草坝.220.4435,四川.草坝.220.4435
6234,四川.草坝/220kV.2612刀闸,220,0,6710,570,四川.草坝.220.4435,四川.草坝.220.4435
6235,四川.草坝/220kV.2616刀闸,220,1,19193,6709,四川.草坝.220.4435,四川.草坝.220.4435
6236,四川.德胜/220kV.2011刀闸,220,1,600,7040,四川.德胜.220.4703,四川.德胜.220.4703
6237,四川.德胜/220kV.2012刀闸,220,0,599,7040,四川.德胜.220.4703,四川.德胜.220.4703
6238,四川.德胜/220kV.2016刀闸,220,1,7041,19194,四川.德胜.220.4703,四川.德胜.220.4703
6239,四川.德胜/220kV.2021刀闸,220,0,600,7042,四川.德胜.220.4703,四川.德胜.220.nd7042
6240,四川.群文/220kV.2121刀闸,220,1,594,6684,四川.群文.220.4432,四川.群文.220.4432
6241,四川.群文/220kV.2122刀闸,220,1,593,6683,四川.群文.220.4432,四川.群文.220.4432
6242,四川.群文/220kV.2511刀闸,220,1,6686,594,四川.群文.220.4432,四川.群文.220.4432
6243,四川.群文/220kV.2516刀闸,220,1,19195,6685,四川.群文.220.nd19195,四川.群文.220.nd6685
6244,四川.群文/220kV.2521刀闸,220,1,6916,593,四川.群文.220.4432,四川.群文.220.4432
6245,四川.达州/220kV.2011刀闸,220,1,575,6711,四川.达州.220.4444,四川.达州.220.4444
6246,四川.达州/220kV.2012刀闸,220,0,573,6711,四川.达州.220.4444,四川.达州.220.4444
