component_id,component_name,volt,sub_name,nd,island,sub_id
序号,并补名,电压等级,,物理节点,电气岛号,厂站索引
665,四川.广都/66kV.#2-6电容器,60,四川.广都,15293,0,2017
666,四川.广都/66kV.#2-7电容器,60,四川.广都,50441,-1,2017
667,四川.广都/66kV.#2-1电抗器,60,四川.广都,15281,0,2017
668,四川.广都/66kV.#2-FC滤波电容器,60,四川.广都,15364,0,2017
669,四川.广都/66kV.#1-FC滤波电容器,60,四川.广都,15267,0,2017
670,四川.白泉/66kV.#1-1电抗器,60,四川.白泉,15563,-1,2059
671,四川.白泉/66kV.#1-2电抗器,60,四川.白泉,15565,-1,2059
672,四川.白泉/66kV.#1-1电容器,60,四川.白泉,15557,-1,2059
673,四川.白泉/66kV.#1-2电容器,60,四川.白泉,15559,-1,2059
674,四川.白泉/66kV.#1-3电容器,60,四川.白泉,15561,-1,2059
675,四川.白泉/66kV.#4-1电抗器,60,四川.白泉,15574,-1,2059
676,四川.白泉/66kV.#4-2电抗器,60,四川.白泉,15575,-1,2059
677,四川.白泉/66kV.#4-1电容器,60,四川.白泉,15568,-1,2059
678,四川.白泉/66kV.#4-2电容器,60,四川.白泉,15570,-1,2059
679,四川.白泉/66kV.#4-3电容器,60,四川.白泉,15572,-1,2059
680,四川.贡唐岗光伏厂/10.5kV.#1SVG静态无功发生器,10,四川.贡唐岗光伏厂,28006,40,2089
681,四川.白乌光伏厂/35kV.#2SVG静态无功发生器,35,四川.白乌光伏厂,15372,0,1896
682,四川.什邡/66kV.#1SVC静态无功补偿器,60,四川.什邡,9940,0,948
683,四川.什邡/66kV.#2SVC静态无功补偿器,60,四川.什邡,9954,0,948
684,四川.广都/66kV.#2SVC静态无功补偿器,60,四川.广都,15288,0,2017
685,四川.广都/66kV.#1SVC静态无功补偿器,60,四川.广都,15365,0,2017
686,四川.桃乡/66kV.#1SVC静态无功补偿器,60,四川.桃乡,7115,0,404
687,四川.桃乡/66kV.#2SVC静态无功补偿器,60,四川.桃乡,7133,0,404
688,四川.伊达厂/35kV.#1SVG静态无功发生器,35,四川.伊达厂,24412,0,1660
689,四川.伊达厂/35kV.#2SVG静态无功发生器,35,四川.伊达厂,24413,0,1660
690,四川.伊达厂/35kV.#3SVG静态无功发生器,35,四川.伊达厂,24784,0,1660
691,四川.火烈风电厂/35kV.#1SVG静态无功发生器,35,四川.火烈风电厂,24783,0,1872
692,四川.火烈风电厂/35kV.#2SVG静态无功发生器,35,四川.火烈风电厂,24782,0,1872
693,四川.芳地坪风电厂/35kV.#1SVG静态无功发生器,35,四川.芳地坪风电厂,14471,28,1875
694,四川.白乌光伏厂/35kV.#1SVG静态无功发生器,35,四川.白乌光伏厂,14563,0,1896
