index,sub
13501,1660
13502,1661
13511,1660
13512,1661
13521,1660
13522,1661
13531,1660
13532,1661
13541,1660
13542,1661
13551,1660
13552,1661
13561,1660
13562,1661
13571,1660
13572,1661
13581,1660
13582,1661
13591,1660
13592,1661
13601,1660
13602,1661
13611,1660
13612,1661
13621,1660
13622,1661
13631,1660
13632,1661
13641,1660
13642,1661
13651,1660
13652,1661
13661,1660
13662,1661
13671,1660
13672,1661
13681,1660
13682,1661
13691,1660
13692,1661
13701,1660
13702,1661
13711,1660
13712,1661
13721,1660
13722,1661
13731,1660
13732,1661
13771,1618
13772,1671
13781,1618
13782,1671
13791,1668
13792,1669
13801,1668
13802,1669
13811,1668
13812,1669
13831,1641
13832,1642
13841,1642
13842,1675
14161,1642
14162,1675
14201,1683
14202,1684
14221,1685
14222,1688
14231,1685
14232,1688
14241,1689
14242,1690
14251,1214
14252,1694
14261,476
14262,477
14271,1019
14272,1695
14301,1704
14302,1705
14311,1706
14312,1707
14321,1707
14322,1708
14331,1707
14332,1708
14341,1707
14342,1708
14351,1707
14352,1708
14361,1707
14362,1708
14371,1707
14372,1708
14381,1707
14382,1708
14391,1707
14392,1708
14401,1707
14402,1708
14411,1707
14412,1708
14421,1707
14422,1708
14431,1707
14432,1708
14441,1707
14442,1708
14451,1707
14452,1708
14461,1707
14462,1708
14471,1707
14472,1708
14481,1707
14482,1708
14491,1707
14492,1708
14501,1707
14502,1708
14511,1707
14512,1708
14521,1707
14522,1708
14531,1707
14532,1708
14541,1707
14542,1708
14551,1707
14552,1708
14561,1707
14562,1708
14571,1707
14572,1708
14581,1707
14582,1708
14591,1707
14592,1708
14601,1707
14602,1708
14611,1707
14612,1708
14621,1707
14622,1708
14631,1707
14632,1708
14641,1707
14642,1708
14671,1714
14672,1715
14681,1714
14682,1715
14711,1719
14712,1720
14731,1701
14732,1702
14741,1701
14742,1702
14751,1701
14752,1703
14761,1701
14762,1703
14771,1701
14772,1703
14781,1701
14782,1703
14791,1701
14792,1703
14801,1701
14802,1703
14811,1701
14812,1703
14821,1701
14822,1703
14831,1701
14832,1703
14841,1701
14842,1703
14851,1701
14852,1703
14861,1701
14862,1703
14871,1701
14872,1703
14881,1701
14882,1703
14891,1701
14892,1703
14901,1701
14902,1703
14911,1701
14912,1703
14921,1701
14922,1703
14931,1701
14932,1703
14941,1701
14942,1703
14951,1701
14952,1703
14961,1701
14962,1703
14971,1701
14972,1703
14981,1701
14982,1703
14991,1701
14992,1703
15001,1701
15002,1703
15011,1701
15012,1703
15021,1701
15022,1703
15031,1701
15032,1703
15041,1701
15042,1703
15051,1701
15052,1703
15061,1701
15062,1703
15071,1701
15072,1703
15081,1716
15082,1734
15091,1716
15092,1734
15101,1716
15102,1734
15111,1722
15112,1723
15121,1722
15122,1723
15131,1722
15132,1723
15211,1736
15212,1737
15221,1736
15222,1737
15231,1741
15232,1740
15301,1747
15302,1746
15311,1747
15312,1746
15341,1753
15342,1754
15371,1496
15372,1497
15401,1660
15402,1661
15411,1660
15412,1661
15421,1660
15422,1661
15431,1660
15432,1661
15441,1660
15442,1661
15451,1660
15452,1661
15461,1660
15462,1661
15471,1660
15472,1661
15481,1660
15482,1661
15491,1660
15492,1661
15501,1660
15502,1661
15511,1660
15512,1661
15521,1660
15522,1661
15531,1660
15532,1661
15541,1660
15542,1661
15551,1660
15552,1661
15561,1660
15562,1661
15571,1660
15572,1661
15581,1660
15582,1661
15591,1660
15592,1661
15601,1660
15602,1661
15611,1660
15612,1661
15621,1660
15622,1661
15631,1660
15632,1661
15641,1660
15642,1661
15651,1660
15652,1661
15661,1660
15662,1661
15671,1660
15672,1661
15681,1660
15682,1661
15691,1660
15692,1661
15701,1660
15702,1661
15711,1660
15712,1661
15721,1660
15722,1661
15731,1760
15732,1761
15781,1775
15782,1776
15791,1775
15792,1776
15801,1777
15802,1779
15811,1777
15812,1779
15821,1780
15822,1779
15831,1778
15832,1781
15851,1783
15852,1784
15861,1783
15862,1784
15871,1785
15872,1787
15881,1785
15882,1787
15891,1785
15892,1787
15901,1785
15902,1787
15911,1785
15912,1786
16011,1797
16012,1811
16021,1797
16022,1811
16031,1797
16032,1811
16041,1812
16042,1813
16051,1812
16052,1813
16061,1812
16062,1813
16071,1812
16072,1813
16081,1814
16082,1813
16091,1814
16092,1813
16121,1618
16122,1671
16151,1822
16152,1828
16161,1820
16162,1828
16171,1830
16172,1829
16191,1831
16192,1832
16201,1843
16202,1844
16211,1843
16212,1844
16221,1845
16222,1846
16261,1853
16262,1854
16291,1862
16292,1866
16321,1869
16322,1870
16331,1869
16332,1870
16341,1869
16342,1870
16351,1871
16352,1872
16361,1872
16362,1873
16371,1872
16372,1873
16381,1872
16382,1873
16391,1872
16392,1873
16401,1872
16402,1873
16411,1872
16412,1873
16421,1872
16422,1873
16431,1872
16432,1873
16441,1872
16442,1873
16451,1872
16452,1873
16461,1872
16462,1873
16471,1872
16472,1873
16481,1872
16482,1873
16491,1872
16492,1873
16501,1872
16502,1873
16511,1872
16512,1873
16521,1872
16522,1873
16531,1872
16532,1873
