index,sub
18392,1007
18393,1008
18401,1006
18402,1007
18403,1008
18411,394
18412,733
18413,734
18421,1978
18422,1979
18423,1983
18501,1992
18502,1994
18503,1993
18511,1992
18512,1994
18513,1993
18521,1948
18522,1995
18523,1996
18531,1995
18532,1998
18533,1997
18541,1995
18542,1998
18543,1997
18581,2001
18582,2003
18583,2004
18911,1835
18912,1836
18913,1837
18921,999
18922,998
18923,997
19321,2015
19322,2016
19323,2017
19331,2015
19332,2016
19333,2017
19341,2018
19342,2020
19343,2019
19351,2018
19352,2020
19353,2019
19441,2031
19442,2034
19443,2033
19451,2036
19452,2039
19453,2038
19461,2036
19462,2039
19463,2038
19541,2043
19542,2044
19543,2046
19601,2057
19602,2058
19603,2059
19611,2057
19612,2058
19613,2059
19621,2055
19622,2056
19623,2060
19631,2055
19632,2056
19633,2060
19661,2065
19662,2068
19663,2067
19671,2065
19672,2068
19673,2067
19681,2066
19682,2069
19683,2070
19691,2066
19692,2069
19693,2070
19781,2091
19782,2093
19783,2092
19831,2095
19832,2096
19833,2102
19841,2095
19842,2096
19843,2102
19991,1000
19992,1001
19993,1002
20001,2134
20002,2135
20003,2136
20011,2134
20012,2135
20013,2136
20091,2139
20092,2356
20093,2140
20151,2448
20152,2449
20153,2450
20271,2162
20272,2164
20273,2163
20321,2172
20322,2173
20323,2174
20331,2172
20332,2173
20333,2174
20341,2175
20342,2177
20343,2176
20351,2175
20352,2177
20353,2176
20381,2184
20382,2185
20383,2358
20491,1005
20492,1004
20493,1003
20581,2229
20582,2231
20583,2230
20591,2229
20592,2231
20593,2230
20651,2247
20652,2248
20653,2249
20661,2247
20662,2248
20663,2249
20671,2244
20672,2250
20673,2251
20681,2244
20682,2250
20683,2251
20711,2252
20712,2253
20713,2254
20721,2252
20722,2253
20723,2254
20741,155
20742,595
20743,638
20841,2269
20842,2270
20843,2271
20851,2269
20852,2270
20853,2271
20881,1792
20882,1805
20883,1804
20901,2279
20902,2281
20903,2280
20911,2279
20912,2281
20913,2280
20921,2282
20922,2283
20923,2284
21001,137
21002,770
21003,771
21011,2293
21012,2294
21013,2295
21021,2293
21022,2294
21023,2295
21171,2320
21172,2321
21173,2322
21181,2320
21182,2321
21183,2322
21261,2285
21262,2286
21263,2334
21271,2285
21272,2286
21273,2334
21351,2341
21352,2345
21353,2344
21361,2341
21362,2345
21363,2344
21371,2341
21372,2345
21373,2344
21381,2341
21382,2345
21383,2344
21411,2349
21412,2350
21413,2351
21421,2021
21422,2021
21423,2021
21441,2021
21442,2021
21443,2021
21661,1483
21662,2365
21663,2364
21681,2368
21682,2369
21683,2370
21691,2368
21692,2369
21693,2370
21701,994
21702,995
21703,996
21801,1474
21802,1474
21803,1474
21811,1474
21812,1474
21813,1474
22041,2388
22042,2389
22043,2390
22071,2391
22072,2391
22073,2391
22081,2391
22082,2391
22083,2391
22241,1546
22242,1546
22243,1546
22251,1546
22252,1546
22253,1546
22431,957
22432,2392
22433,1369
22441,957
22442,2392
22443,1369
22581,1550
22582,1550
22583,1550
22591,1550
22592,1550
22593,1550
22751,2336
22752,2336
22753,2336
22761,2336
22762,2336
22763,2336
22921,1548
22922,1548
22923,1548
22931,1548
22932,1548
22933,1548
23061,159
23062,157
23063,158
23101,1530
23102,1530
23103,1530
23111,1530
23112,1530
23113,1530
23271,2117
23272,2118
23273,2118
23281,2117
23282,2118
23283,2118
23291,2117
23292,2118
23293,2118
23301,2117
23302,2118
23303,2118
23311,2117
23312,2118
23313,2118
23321,2117
23322,2118
23323,2118
23331,2117
23332,2118
23333,2118
23341,2117
23342,2118
23343,2118
23351,2117
23352,2118
23353,2118
23361,2117
23362,2118
23363,2118
23371,2117
23372,2118
23373,2118
23381,2117
23382,2118
23383,2118
23391,2117
23392,2118
23393,2118
23401,2117
23402,2118
23403,2118
23411,2117
23412,2118
23413,2118
23421,2117
23422,2118
23423,2118
23431,2117
23432,2118
23433,2118
23441,2117
23442,2118
23443,2118
23451,2117
23452,2118
23453,2118
23461,2117
23462,2118
23463,2118
23471,2117
23472,2118
23473,2118
23481,2117
23482,2118
23483,2118
23491,2117
23492,2118
23493,2118
23501,2117
23502,2118
23503,2118
23511,2117
23512,2118
23513,2118
23521,2117
23522,2118
23523,2118
23531,2117
23532,2118
23533,2118
23541,2117
23542,2118
23543,2118
23551,2117
23552,2118
23553,2118
23561,2117
23562,2118
23563,2118
23571,2117
23572,2118
23573,2118
23581,2117
23582,2118
23583,2118
23591,2117
23592,2118
23593,2118
23601,2117
23602,2118
23603,2118
23611,2117
23612,2118
23613,2118
23621,2117
23622,2118
23623,2118
23631,2117
23632,2118
23633,2118
23641,2117
23642,2118
23643,2118
23651,2117
23652,2118
23653,2118
23661,2117
23662,2118
23663,2118
23671,2117
23672,2118
23673,2118
23681,2117
23682,2118
23683,2118
23691,2117
23692,2118
23693,2118
23701,2117
23702,2118
23703,2118
23711,2117
23712,2118
23713,2118
23721,2117
23722,2118
23723,2118
23731,2117
23732,2118
23733,2118
23741,2117
23742,2118
23743,2118
23751,2117
23752,2118
23753,2118
23761,2117
23762,2118
23763,2118
24151,2152
24152,2154
24153,2154
24161,2152
24162,2154
24163,2154
24171,2152
24172,2154
24173,2154
24181,2152
24182,2154
24183,2154
24191,2152
24192,2154
24193,2154
24201,2152
24202,2154
24203,2154
24211,2152
24212,2154
