id,I_nd,J_nd
1361,17771,3120
1362,3123,17771
1363,41,3122
1364,17772,17771
1365,3125,40
1366,17773,3124
1367,17773,17774
1368,3127,17773
1369,17775,3126
1370,17776,17775
1371,3129,17775
1372,17777,3128
1373,3131,17777
1374,41,3130
1375,17777,17778
1376,141,3134
1377,3135,17779
1378,141,3136
1379,3137,17780
1380,3139,141
1381,17781,3138
1382,144,3140
1383,145,3140
1384,3141,17782
1385,144,3142
1386,145,3142
1387,3143,17783
1388,144,3145
1389,145,3144
1390,3147,144
1391,3147,145
1392,17784,3146
1393,3149,144
1394,3149,145
1395,17785,3148
1396,146,3150
1397,147,3150
1398,148,17786
1399,3151,17786
1400,146,3152
1401,147,3152
1402,148,17787
1403,3153,17787
1404,148,146
1405,3155,146
1406,3155,147
1407,148,17788
1408,17788,3154
1409,3157,146
1410,3157,147
1411,148,17789
1412,17789,3156
1413,3159,146
1414,3159,147
1415,148,17790
1416,17790,3158
1417,3161,146
1418,3161,147
1419,148,17791
1420,17791,3160
1421,3163,146
1422,3163,147
1423,148,3162
1424,375,3164
1425,376,3164
1426,3165,17792
1427,375,3166
1428,376,3166
1429,3167,17793
1430,375,3168
1431,376,3168
1432,3169,17794
1433,375,3171
1434,376,3170
1435,3173,375
1436,3173,376
1437,17795,3172
1438,3175,375
1439,3175,376
1440,17796,3174
1441,3177,375
1442,3177,376
1443,17797,3176
1444,149,3178
1445,150,3178
1446,151,17798
1447,3179,17798
1448,149,3180
1449,150,3180
1450,151,17799
1451,3181,17799
1452,149,3183
1453,150,3182
1454,3185,149
1455,3185,150
1456,151,3184
1457,3187,149
1458,3187,150
1459,151,17800
1460,17800,3186
1461,3189,149
1462,3189,150
1463,151,17801
1464,17801,3188
1465,3191,149
1466,3191,150
1467,151,17802
1468,17802,3190
1469,3193,149
1470,3193,150
1471,151,17803
1472,17803,3192
1473,3195,149
1474,3195,150
1475,151,17804
1476,17804,3194
1477,3197,149
1478,3197,150
1479,151,17805
1480,17805,3196
1481,17806,3198
1482,42,3200
1483,42,3202
1484,43,3204
1485,43,3206
1486,42,3208
1487,43,3209
1488,17807,3216
1489,3211,42
1490,17808,3210
1491,3213,43
1492,17809,3212
1493,3215,43
1494,17810,3214
1495,17811,3218
1496,17812,3220
1497,2498,152
1498,2498,153
1499,17813,2497
1500,154,17813
1501,2500,152
1502,2500,153
1503,17814,2499
1504,154,17814
1505,2502,152
1506,2502,153
1507,17815,2501
1508,154,17815
1509,2504,152
1510,2504,153
1511,154,17816
1512,2550,152
1513,2550,153
1514,154,17817
1515,2506,152
1516,2506,153
1517,17818,2505
1518,154,17818
1519,3225,152
1520,3225,153
1521,154,3224
1522,514,17819
1523,3227,514
1524,17820,3226
1525,17821,3228
1526,17822,7606
1527,17823,3236
