name,CN_I,CN_J,TxI,TxJ
四川.交财湾厂/1#变压器,9962,956,7761,7762
四川.交财湾厂/2#变压器,9960,957,7771,7772
四川.九架棚厂/1#变压器,10057,10055,7841,7842
四川.布西厂/1#变压器,10067,976,7851,7852
四川.烟岗厂/1#变压器,10077,978,7861,7862
四川.跑马坪厂/1#变压器,10085,980,7871,7872
四川.茶布朗厂/1#变压器,10091,981,7881,7882
四川.茶布朗厂/2#变压器,10093,982,7891,7892
四川.茶布朗厂/3#变压器,10095,983,7901,7902
四川.茶布朗厂/4#变压器,10097,984,7911,7912
四川.石化/1#变压器,21890,10390,7951,7952
四川.石化/2#变压器,21891,10392,7961,7962
四川.石化/3#变压器,21892,10394,7971,7972
四川.石化/4#变压器,21893,10396,7981,7982
四川.石化/5#变压器,21894,10398,7991,7992
四川.石化/6#变压器,21895,10400,8001,8002
四川.巴溪厂/1#变压器,10367,22010,8141,8142
四川.巴溪厂/2#变压器,10369,22014,8151,8152
四川.丰岩堡厂/2#变压器,10510,1037,8231,8232
四川.丰岩堡厂/3#变压器,10512,1033,8241,8242
四川.小河厂/1#变压器,10524,1039,8251,8252
四川.小河厂/2#变压器,10526,1040,8261,8262
四川.紫兰坝厂/3#变压器,10558,10559,8271,8272
四川.紫兰坝厂/2#变压器,10562,10563,8281,8282
四川.紫兰坝厂/1#变压器,10566,10567,8291,8292
四川.荣丁厂/1#变压器,10550,1044,8301,8302
四川.华强厂/1#变压器,22142,22143,8311,8312
四川.马拟厂/1#变压器,10586,22151,8321,8322
四川.宜宾电厂/5#调压变,10604,27598,8341,8342
四川.宜宾电厂/1#变压器,10602,22170,8351,8352
四川.成都嘉陵厂/11#变压器,10530,26792,8361,8362
四川.成都嘉陵厂/12#变压器,10532,26793,8371,8372
四川.成都嘉陵厂/13#变压器,10534,22114,8381,8382
四川.河口厂/1#变压器,10620,1058,8401,8402
四川.河口厂/2#变压器,10622,1057,8411,8412
四川.金堂燃机厂/1#变压器,10632,22193,8421,8422
四川.岐山厂/1#变压器,10643,10637,8431,8432
四川.岐山厂/2#变压器,10645,10638,8441,8442
四川.三瓦窑厂/1#变压器,10649,10660,8451,8452
四川.三瓦窑厂/2#变压器,10651,10661,8461,8462
四川.华阳燃机电厂/1#变压器,10668,10663,8481,8482
四川.华阳燃机电厂/2#变压器,10670,10665,8491,8492
四川.华阳燃机电厂/3#变压器,10678,10675,8501,8502
四川.小姓厂/1#变压器,10680,22230,8511,8512
四川.小三峡厂/1#变压器,10686,1075,8521,8522
四川.小三峡厂/2#变压器,10688,1076,8531,8532
四川.凤凰厂/1#变压器,10700,1077,8541,8542
四川.凤凰厂/2#变压器,10702,1079,8551,8552
四川.开建桥厂/1#变压器,10713,22262,8561,8562
四川.开建桥厂/2#变压器,10715,22263,8571,8572
四川.金盘子厂/1#变压器,10723,1084,8581,8582
四川.金盘子厂/2#变压器,10721,1509,8591,8592
四川.鱼洞厂/2#变压器,10727,22270,8601,8602
四川.高坑厂/1#变压器,10756,10757,8621,8622
四川.黄浦厂/1#变压器,22289,10739,8631,8632
四川.黄浦厂/2#变压器,22290,10741,8641,8642
四川.黄浦厂/高备变压器,22291,27601,8651,8652
四川.波罗厂/1#变压器,22296,10777,8661,8662
四川.七星厂/1#变压器,10782,1093,8671,8672
四川.高坝厂/11#变压器,10768,22307,8681,8682
四川.高坝厂/0#变压器,10770,27984,8691,8692
四川.攀钢厂/11#变压器,10800,26794,8721,8722
四川.攀钢厂/12#变压器,10802,26795,8731,8732
四川.攀钢厂/13#变压器,10804,26796,8741,8742
四川.攀钢厂/20#变压器,10806,27603,8751,8752
四川.杉树坪厂/1#变压器,10828,1103,8761,8762
四川.杉树坪厂/2#变压器,22345,22355,8771,8772
四川.杉树坪厂/3#变压器,22346,22356,8781,8782
四川.杉树坪厂/4#变压器,10830,22357,8791,8792
四川.攀钢热电厂/4#变压器,22185,22186,8801,8802
四川.华莹山厂/1#变压器,27985,27986,8811,8812
四川.华莹山厂/3#变压器,27989,27990,8831,8832
四川.华莹山厂/4#变压器,27991,27992,8841,8842
四川.广宁厂/1#变压器,10844,10845,8851,8852
四川.龚家河厂/1#变压器,23220,1106,8861,8862
四川.赵家山厂/1#变压器,10860,1108,8871,8872
四川.豆坝/3#变压器,41404,41405,8881,8882
四川.豆坝/4#变压器,41406,41407,8891,8892
四川.洼垴厂/1#变压器,10870,1113,8901,8902
四川.洼垴厂/2#变压器,10872,1112,8911,8912
四川.大兴厂/1#变压器,10892,22427,8921,8922
四川.大兴厂/2#变压器,10894,22428,8931,8932
四川.好利来厂/1#变压器,41408,41409,8941,8942
四川.英雄坡厂/1#变压器,22438,22441,8951,8952
四川.英雄坡厂/2#变压器,22439,22442,8961,8962
四川.仔达寨厂/1#变压器,10904,22433,8971,8972
四川.新城厂/2#变压器,10930,1123,8981,8982
四川.新城厂/1#变压器,10928,1122,8991,8992
四川.沙嘴厂/1#变压器,10944,1125,9001,9002
四川.沙嘴厂/2#变压器,10946,1124,9011,9012
四川.三棵树厂/1#变压器,10956,1128,9021,9022
四川.三棵树厂/2#变压器,10954,1127,9031,9032
四川.富流滩厂/2#变压器,10967,10977,9041,9042
四川.风滩厂/1#变压器,10997,1137,9061,9062
四川.宏阳厂/1#变压器,11003,22539,9071,9072
四川.中坝厂/2#变压器,10987,22505,9081,9082
四川.中坝厂/1#变压器,10985,10983,9091,9092
四川.千佛岩厂/2#变压器,11023,1142,9101,9102
四川.千佛岩厂/1#变压器,11021,1141,9111,9112
四川.毕棚沟厂/1#变压器,11034,22546,9121,9122
四川.毕棚沟二级厂/1#变压器,11035,22559,9131,9132
四川.毕棚沟二级厂2#变压器,11036,22561,9141,9142
四川.岩坝厂/1#变压器,11051,22566,9151,9152
四川.明礼厂/1#变压器,11061,22585,9171,9172
四川.金洞子厂/1#变压器,1151,22590,9181,9182
四川.通口厂/1#变压器,22599,1153,9191,9192
四川.五通燃机厂/1#变压器,11057,11058,9201,9202
四川.马回厂/1#变压器,22618,11094,9211,9212
四川.小兴场厂/1#变压器,11102,11113,9231,9232
四川.小兴场厂/2#变压器,11104,22622,9241,9242
四川.小兴场厂/3#变压器,11108,1162,9251,9252
四川.明台厂/1#变压器,11134,22634,9261,9262
四川.槽渔滩厂/2#变压器,22661,22659,9271,9272
四川.宏阳厂/2#变压器,41410,41411,9291,9292
四川.江油燃机厂/1#变压器,22669,11201,9301,9302
四川.江油燃机厂/2#变压器,11148,11159,9311,9312
四川.江油燃机厂/3#变压器,22647,22648,9321,9322
四川.江油燃机厂/4#变压器,11152,22649,9331,9332
四川.江油燃机厂/5#变压器,11154,22651,9341,9342
四川.江油燃机厂/6#变压器,11156,22653,9351,9352
四川.江油燃机厂/厂用变压器,11158,27604,9361,9362
四川.城东厂/2#变压器,22674,1173,9381,9382
四川.吉日波厂/1#变压器,11204,11207,9391,9392
四川.青居厂/1#变压器,22686,22695,9401,9402
四川.青居厂/2#变压器,22692,22697,9411,9412
四川.三江厂/1#变压器,11229,1181,9421,9422
四川.三江厂/2#变压器,11231,22700,9431,9432
四川.东西关厂/1#变压器,22709,1182,9441,9442
四川.东西关厂/2#变压器,22710,1183,9451,9452
四川.黑土坡厂/2#变压器,11257,1189,9481,9482
四川.白杨厂/1#变压器,11266,11267,9511,9512
四川.小龙厂/1#变压器,11298,1195,9521,9522
四川.小龙厂/2#变压器,11300,1196,9531,9532
四川.热水塘厂/1#变压器,24021,22754,9541,9542
四川.金岩厂/1#变压器,11315,22766,9551,9552
四川.石棉矿厂/1#变压器,11321,22774,9561,9562
四川.石棉矿厂/2#变压器,11323,22775,9571,9572
四川.石棉矿厂/3#变压器,11325,22789,9581,9582
四川.石棉矿厂/4#变压器,11327,22778,9591,9592
四川.雅家埂厂/1#变压器,11349,22807,9601,9602
四川.雅家埂厂/2#变压器,11347,22806,9611,9612
四川.黄丹厂/2#变压器,11361,1206,9631,9632
四川.松源厂/2#变压器,11372,22836,9641,9642
四川.松源厂/1#变压器,11370,22835,9651,9652
