id,name,volt,I_node,J_node,I_nd,J_nd,I_id,J_id
序号,断路器名,电压等级,I端所在拓扑节点,J端所在拓扑节点,I端物理节点,J端物理节点,I端所属厂站索引,J端所属厂站索引
9944,四川.达州/380V.1MK2虚开关,0,四川.达州.0.nd32468,四川.达州.0.nd32469,32468,32469,1461,1461
9945,四川.达州/380V.1MK6虚开关,0,四川.达州.0.nd32470,四川.达州.0.nd32471,32470,32471,1461,1461
9946,四川.达州/380V.2MK1虚开关,0,四川.达州.0.nd32472,四川.达州.0.nd32473,32472,32473,1461,1461
9947,四川.达州/380V.2MK2虚开关,0,四川.达州.0.nd32474,四川.达州.0.nd32475,32474,32475,1461,1461
9948,四川.达州/380V.2MK6虚开关,0,四川.达州.0.nd32476,四川.达州.0.nd32477,32476,32477,1461,1461
9949,四川.达州/380V.3MK1虚开关,0,四川.达州.0.nd32478,四川.达州.0.nd32479,32478,32479,1461,1461
9950,四川.达州/380V.3MK2虚开关,0,四川.达州.0.nd32480,四川.达州.0.nd32481,32480,32481,1461,1461
9951,四川.达州/380V.3MK6虚开关,0,四川.达州.0.nd32482,四川.达州.0.nd32483,32482,32483,1461,1461
9952,四川.达州/380V.#1UPI虚开关,0,四川.达州.0.nd32484,四川.达州.0.nd32485,32484,32485,1461,1461
9953,四川.达州/380V.#1UPR虚开关,0,四川.达州.0.nd32486,四川.达州.0.nd32487,32486,32487,1461,1461
9954,四川.达州/380V.#2UPI虚开关,0,四川.达州.0.nd32488,四川.达州.0.nd32489,32488,32489,1461,1461
9955,四川.达州/380V.#2UPR虚开关,0,四川.达州.0.nd32490,四川.达州.0.nd32491,32490,32491,1461,1461
9956,四川.达州/380V.#1UPS交流进线虚开关,0,四川.达州.0.nd32492,四川.达州.0.nd32493,32492,32493,1461,1461
9957,四川.达州/380V.#2UPS交流进线虚开关,0,四川.达州.0.nd32494,四川.达州.0.nd32495,32494,32495,1461,1461
9958,四川.达州/380V.11TZLK虚开关,0,四川.达州.0.nd32496,四川.达州.0.nd32497,32496,32497,1461,1461
9959,四川.达州/380V.12TZLK虚开关,0,四川.达州.0.nd32498,四川.达州.0.nd32499,32498,32499,1461,1461
9960,四川.达州/380V.15TZLK虚开关,0,四川.达州.0.nd32500,四川.达州.0.nd32501,32500,32501,1461,1461
